id,词条,tag,英文翻译,comment,俄文翻译,词条来源,辞典名称,翻译最大长度,备注1
48cedeae-b936-42f8-a0b3-77ca2b9eb220,%1 element requires either %2 or %3 attribute.,QtXmlPatterns,%1 element requires either %2 or %3 attribute.,,"Заместители (`{}`, `{:.3f}`, `%1`, `%2`, `[{}]` и т. д.) должны сохраняться в неизменном виде; HTML-теги (`<h3>`, `<p>` и т. д.) также должны быть сохранены без изменений.",qt,,,翻译验证失败: 占位符丢失: %3
2b170ea2-20f7-4fed-9311-44fdb1bb3ba3,R,qdesigner_internal::TreeWidgetEditor,R,,**Сильные ограничения на заместители (`⟦__PH_CURLY_0__⟧`):** во входном тексте могут содержаться такие заместители. Эти заместители должны:,designer,,,
2b339b2f-3a92-4585-8d0a-1cfef5c2e7a6,S,qdesigner_internal::QtGradientStopsController,S,,"- сохраняться буквально (включая `⟦`, `⟧`, подчеркивания и цифры);",designer,,,
b633f724-ca01-411e-b6a2-edeeca8b3108,V,QtGradientEditor,V,,"- выводиться в том порядке, в котором они встречаются во входном тексте (запрещается изменение порядка);",designer,,,
5010608f-b6ba-4ea6-9b3e-0e36197e38f1,U,qdesigner_internal::ItemListEditor,U,,"- заместители, находящиеся в начале предложения, должны оставаться в начале предложения.",designer,,,
3259ef03-655e-45ed-9ebd-405b875d0dd1,Page size:,QPageSetupWidget,Page size:,,"Различимые заместители `%1/%2/%n` позволяют корректировать порядок слов согласно правилам русской грамматики, но формат должен сохраняться (запрещается использование `% 1`).",qtbase,,,"翻译验证失败: 可区分占位符格式被破坏（禁止 ""% 1"" 这种写法）"
3d664478-5254-484d-a01b-d64516f62ff3,HintingPreference,FontPropertyManager,HintingPreference,,"Специальные термины (Qt, SSL, XML, HTTP, RLO и т. д.) должны сохраняться в их общепринятом формате или не переводиться.",designer,,,
117b6cfa-db7b-4410-a1c0-ab2ab381610b,X,QtRectFPropertyManager,X,,Сохраняйте правильность пунктуации и форматирования; китайские знаки пунктуации не должны использоваться.,designer,,,
c75fa7db-3db2-4e1e-a98d-134ef5367d2e,Change sender,Command,Change sender,,"Приложения должны сохранять свои расширения без пробелов (например, `(*.scd)`, `(*.cid)`.",designer,,,
35567058-62ab-4ce9-b931-a828bc43651d,I,QtResourceEditorDialog,I,,русский перевод:,designer,,,后处理: 已剥离 “源文 → 译文” 箭头左侧，仅保留俄文译文
43f8dc97-2834-47c5-bc63-f04fa93bc798,L,qdesigner_internal::TreeWidgetEditor,L,,Y,designer,,,
d5caa096-28ba-44d1-8588-6fc76d5847ee,AlignLeft,qdesigner_internal::DesignerPropertyManager,AlignLeft,,Невозможно создать объект делегата курсора.,designer,,,
aa27f735-23f6-4cda-bf37-c947e44434c7,N,QtResourceEditorDialog,N,,Заголовок:,designer,,,
a769ab1e-f955-4408-860d-c5537744ce4d,B,qdesigner_internal::QtGradientStopsController,B,,"Вертикальный разделитель `%1`, %2 x %3",designer,,,
a1ab734f-2dd1-4a0e-b0b4-e5b91e459475,Launch (6),QShortcut,Launch (6),,Элемент `%1` требует атрибута `%2` или `%3`.,qtbase,,,
1f927362-044e-42bf-9785-b86f9126f75c,A,QtResourceEditorDialog,A,,R,designer,,,
673c15f7-f027-468a-b70d-9d174d1a81e8,Sets the application's layout direction to Qt::RightToLeft (debugging helper).,QGuiApplication,Sets the application's layout direction to Qt::RightToLeft (debugging helper).,,S,qtbase,,,
255036ce-fba9-4f9f-a827-a4205c491b14,D,qdesigner_internal::ItemListEditor,D,,V,designer,,,
f8573ffa-ed11-418c-9acf-f1b300ba3e0d,H,QtGradientEditor,H,,U,designer,,,
947378c9-be5f-4402-8270-7bb40b06b1d4,G,qdesigner_internal::QtGradientStopsController,G,,Размер страницы:,designer,,,
97855298-2ac3-45c5-8e01-805cb9e7afdd,>,QtGradientEditor,>,,Предпочтения отображения подсказок (HintingPreference),designer,,,
3c3a93c4-3aec-452f-a342-671f72956357,No Vertical Alignment,qdesigner_internal::QDesignerTaskMenu,No Vertical Alignment,,X,designer,,,
d6ffa35a-5b5a-4bac-ac2b-71c6acb5ea5f,Network dropped connection on reset,QNativeSocketEngine,Network dropped connection on reset,,Изменение отправителя сообщения,qtbase,,,
1bb92e06-cd86-44cb-9bfe-b8870fc6dfb8,2,QtGradientEditor,2,,I,designer,,,
68e5c7d3-bcad-4070-beab-e3eb2e3d57ab,1,PluginDialog,1,,L,designer,,,
6f893012-8a9c-46e4-a6f8-9eeef1855c07,16 (4x4),QPrintDialog,16 (4x4),,Выравнивание слева (AlignLeft),qtbase,,,
587ab8ed-2a38-4fc9-bbfe-2d95de8d4aac,4,QtGradientEditor,4,,N,designer,,,
902a1f88-29a8-4696-ae50-a0c4918e15a1,3,QtGradientEditor,3,,B,designer,,,
79a3727f-c17c-44ba-8e2a-c23bfd6943f9,Landscape (&CCW),qdesigner_internal::PreviewDeviceSkin,Landscape (&CCW),,Запуск (Launch (6)),designer,,,
a7b0dd74-3007-46bd-967c-76a48120fe21,Pointing Hand,QtCursorDatabase,Pointing Hand,,A,designer,,,
2d0c0afe-0623-4279-8d63-0ab686b791a4,5,QtGradientEditor,5,,Устанавливает направление ориентации пользовательского интерфейса приложения в режим Qt::RightToLeft (помощь при отладке).,designer,,,
6ae6be8c-97b2-4a57-819b-daadf0eb808b,String...,qdesigner_internal::PropertyEditor,String...,,D,designer,,,
4033aa5a-1a53-4d89-8b26-cb5456196999,Video,QShortcut,Video,,H,qtbase,,,
1f967c09-7775-492c-b9a6-44ff915c2998,Column 1,qdesigner_internal::PreviewWidget,Column 1,,G,designer,,,
1d2b310f-6583-409f-be54-c3431677babb,*,QWidget,*,,>,qtbase,,,
f78e7611-8975-4b7b-82ab-46d5107a85a8,Add Form Layout Row,FormLayoutRowDialog,Add Form Layout Row,,Отсутствие вертикального выравнивания элементов,designer,,,
b9d60117-0402-41b6-9e0b-81c5303f7b8b,US Common #10 Envelope (105 x 241 mm),QPrintDialog,US Common #10 Envelope (105 x 241 mm),,Конверт США №10 (105 x 241 мм),qt,,,
8870c07c-7520-4741-b56d-5e9ba7bd4ef2,Alias for --qwindowgeometry.,QGuiApplication,Alias for --qwindowgeometry.,,Алиас для --qwindowgeometry.,qtbase,,,
728a9cfa-b649-4ea4-9dc7-9d6d18c249de,The namespace for a user defined function cannot be empty (try the predefined prefix %1 which exists for cases like this),QtXmlPatterns,The namespace for a user defined function cannot be empty (try the predefined prefix %1 which exists for cases like this),,"Пространство имен для пользовательской функции не может быть пустым (попробуйте предопределённый префикс %1, который существует для подобных случаев)",qt,,,
1d1ac749-f177-4975-a86f-e5dd78dda08d,+,QShortcut,+,,+,qt,,,
47ac86ad-0dab-4315-bc89-318cafc51117,0,qdesigner_internal::NewFormWidget,0,,0,designer,,,
90f09ca7-4a8a-4e3e-96cd-b9a67255b790,&Window,QDesignerWorkbench,&Window,,&Okно,designer,,,
791d2d4d-027f-4bad-ab11-ba9687b3f937,Launch (9),QShortcut,Launch (9),,Запуск (9),qt,,,
3a3dd5c5-6913-4a90-803a-25a33b4a03da,%,QtGradientEditor,%,,%,designer,,,
1f564206-ea0c-43a0-a881-c8ae1a97796b,Signals,SignalSlotDialogClass,Signals,,Сигналы,designer,,,
01b082f9-ec08-4890-bd5c-1234dfd2562a,Form Settings,FormWindowSettings,Form Settings,,Настройки формы,designer,,,
ea64c320-d8dc-42ce-84f3-b1f32c4dfbe2,Empty widget item in %1 '%2'.,QAbstractFormBuilder,Empty widget item in %1 '%2'.,,Пустой элемент виджета в %1 '%2'.,designer,,,
dcd153b9-30a8-4f11-a2e5-7e5a7cade535,Content of attribute %1 does not match defined value constraint.,QtXmlPatterns,Content of attribute %1 does not match defined value constraint.,,Значение атрибута %1 не соответствует определённому ограничению значения.,qt,,,
98d64c97-f769-4797-8da9-ee4a5e559beb,Shared Configuration,QStandardPaths,Shared Configuration,,Общая Конфигурация,qtbase,,,
41cf5a82-d2ae-4e33-91b2-84f4aeafd4b5,Generic Mimer SQL error,QMimerSQL,Generic Mimer SQL error,,Общая Ошибка SQL Mimer,qtbase,,,
48710b26-51f3-4115-89ce-2953e0181f06,The item %1 did not match the required type %2.,QtXmlPatterns,The item %1 did not match the required type %2.,,Элемент %1 не соответствует требуемому типу %2.,qt,,,
146d0dd3-f9f9-487d-877c-841c90a34047,Delete Menu Bar,Command,Delete Menu Bar,,Удалить Панель Меню,designer,,,
34549476-dd74-4ce2-b295-4dba16b63302,Decompression failed: %1,QHttp,Decompression failed: %1,,Распаковка не удалась: %1,qtbase,,,
0d8c0fa1-beb6-4a58-8155-f1442524dc2d,empty,QtXmlPatterns,empty,,пустой,qt,,,
a5a3c76c-fc9d-4a5d-b79b-c4ba9c8f422c,No property alias location,QDeclarativeCompiler,No property alias location,,Нет расположения алиаса свойства,qt,,,
37e983c8-0acc-4b76-a8b8-31b11a0df157,Add,BookmarkWidget,Add,,Добавить,assistant,,,
046083dd-1eba-4888-a787-d2a05156233b,The data could not be encrypted,QSslSocket,The data could not be encrypted,,Данные не могли быть зашифрованы,qtbase,,,
1ede3ca1-6dbf-42db-b010-d4d9c6256568,Start:,QCupsJobWidget,Start:,Banner page at start,Начало:,qtbase,,,
3e27e759-dd23-4f2c-92b9-ea904c500336,Setting volume failed,Phonon::MMF::AbstractMediaPlayer,Setting volume failed,,Настройка громкости не удалась,qt,,,
70f557ff-ff24-4c4e-b5eb-687abececa1d,Delegate component must be Item type.,QDeclarativeVisualDataModel,Delegate component must be Item type.,,Делегатный компонент должен быть типа Item.,qt,,,
89ad4bd4-d9ae-483d-922b-6695a2980b1e,Saved image %1.,QDesignerActions,Saved image %1.,,Сохранено изображение %1.,designer,,,
214bb769-9f54-4ac0-9dd6-6cc00a38fb0d,Rewind movie,QWebPage,Rewind movie,,Назад к фильму,qt,,,
0a065b7b-ac0b-4bdb-9b52-bc03debc0d7e,Red,QShortcut,Red,,Красный,qtbase,,,
db7746a5-d0ee-40a5-a27c-7c298997fe10,Antialiasing,FontPropertyManager,Antialiasing,,Анти-алиасинг,designer,,,
109d7a01-9735-4b15-a914-c88ad59ce94a,The current candidate issuer certificate was rejected because its subject name did not match the issuer name of the current certificate,QSslSocket,The current candidate issuer certificate was rejected because its subject name did not match the issuer name of the current certificate,,"Текущий кандидат сертификата издателя был отклонён, так как его имя субъекта не совпадает с именем издателя текущего сертификата",qtbase,,,
0effd87f-6a3b-4c59-8a34-80b071bda388,Enabled,Phonon::MMF::EffectFactory,Enabled,,Включено,qt,,,
c60f2d2c-01f2-43cf-8af8-41c2f44a4e05,URL:,AddLinkDialog,URL:,,URL:,designer,,,
c5abce1f-79e5-4b71-9508-c44d5d3c407b,Key constraint %1 contains absent fields.,QtXmlPatterns,Key constraint %1 contains absent fields.,,Ограничение ключа %1 содержит отсутствующие поля.,qt,,,
a7e4554d-5611-49bf-8771-1bce2dcdaf83,The skin '%1' already exists.,qdesigner_internal::PreviewConfigurationWidget,The skin '%1' already exists.,,Kerлинг '%1' уже существует.,designer,,,
5fee3052-c954-49e5-9df4-01532d52ffa8,Center,QWebPage,Center,,Центр,qt,,,
a24a1ef0-856d-4c96-94ee-99e452ddccaa,Preview Zoom,FormEditorOptionsPage,Preview Zoom,,Предварительный Зум,designer,,,
1595c4a6-1c14-4cf7-aef5-da1594e898bc,Launch (7),QShortcut,Launch (7),,Запуск (7),qt,,,
39efd7a7-1f84-4461-9cf0-76043e8400b4,Invalid document.,QXmlStream,Invalid document.,,Недопустимый документ.,qtbase,,,
afbae6a9-d749-48b4-9b38-12975659398f,alert message,QSpiAccessibleBridge,alert message,,сообщение об ошибке,qtbase,,,
6c4e1607-76f2-4c53-8d91-f6cd2e5cc611,Cannot open for output,QFile,Cannot open for output,,Не удается открыть для вывода,qt,,,
ad222824-213f-40d2-95c3-7a0fdf4ba691,"Could not create directory
%1",Q3LocalFs,"Could not create directory
%1",,Не удается создать директорию,qt,,,翻译验证失败: 占位符丢失: %1
0a0d893e-670a-4642-bb6a-c358815692b4,SSL_CONF_CTX_new() failed,QSslSocket,SSL_CONF_CTX_new() failed,,SSL_CONF_CTX_new() не удалось,qtbase,,,
0133ea8f-572b-453f-9fa6-d7a3143cccbf,Spreadsheet,QShortcut,Spreadsheet,,Таблица,qt,,,
db50a839-0ef5-4b6a-948e-bfeaf5f9e528,"Invalid property assignment: unsupported type ""%1""",QDeclarativeCompiler,"Invalid property assignment: unsupported type ""%1""",,"Некорректное присвоение свойства: не поддерживается тип ""%1""",qt,,,
7e07a8eb-6c4f-4fd5-885b-d41ce33735f2,Keyboard Menu,QShortcut,Keyboard Menu,,Меню клавиатуры,qt,,,
1009d969-a3d8-440e-a1a6-41255be20d5b,An error has been encountered at line %1 of %2: %3,QDesignerWidgetBox,An error has been encountered at line %1 of %2: %3,,Ошибка возникла в строке %1 файла %2: %3,designer,,,
2c362113-36df-4898-94f6-a971acc1f679,tool bar,QSpiAccessibleBridge,tool bar,,панель инструментов,qtbase,,,
12e35cc7-c84b-4959-82b4-d763cf14d04d,Font,FontPanel,Font,,Шрифт,assistant,,,
a1211175-fad0-4467-8c14-6b33f7f147c8,Change Prefix,QtResourceEditorDialog,Change Prefix,,Изменить префикс,designer,,,
456029bf-3835-4c09-a45c-4c43c8b12afb,Selection,QPrintSettingsOutput,Selection,,Выделение,qtbase,,,
1d535854-81a5-498d-815f-3a3ecd357d6b,Kanji,QShortcut,Kanji,,Канцан,qt,,,
e2dba4ac-bf1d-44f9-b6f6-38ba0512142a,progress bar,QSpiAccessibleBridge,progress bar,,панель прогресса,qtbase,,,
6f27f8e2-db41-46bd-90a5-b9e80fd7f1a1,'%1' is not a valid Mach-O binary (%2),QLibrary,'%1' is not a valid Mach-O binary (%2),,'%1' не является допустимым Mach-O бинарным файлом (%2),qtbase,,,
6e3631d0-f536-4273-99a6-7f05e3f4b83c,Advanced search,QHelpSearchQueryWidget,Advanced search,,Расширенный поиск,qt_help,,,
0274ace7-1872-407e-96a9-9c97051b1bfa,Hide Details...,QMessageBox,Hide Details...,,Скрыть детали...,qtbase,,,
dbe56f2a-ea67-43f6-903c-b540d0e77900,Error occurred while processing comment,QDomParser,Error occurred while processing comment,,Ошибка при обработке комментария,qtbase,,,
58b730fb-191b-4557-997b-652b4d7c5692,Output &file:,QPrintWidget,Output &file:,,Выход &file:,qt,,,
7d919053-4904-4879-b4c1-33f63378c7d9,Hide %1,MAC_APPLICATION_MENU,Hide %1,,Скрыть %1,qtbase,,,
3201cab4-9a92-4ff2-a826-7e709f347433,Error while reading: %1,QSslSocket,Error while reading: %1,,Ошибка при чтении: %1,qtbase,,,
d66e47bb-2192-432e-b23d-11825a3243a7,unchecked,quiaccessibilityelement,unchecked,,Неотмечено,qtbase,,,
8cfaa0e7-7975-4f87-afb5-82cb84306844,The module import feature is not supported,QtXmlPatterns,The module import feature is not supported,,Функция импорта модуля не поддерживается,qt,,,
3a382ed4-abbf-4304-973a-682645a86c5a,Property Name,qdesigner_internal::NewDynamicPropertyDialog,Property Name,,Название свойства,designer,,,
28f0ec4e-d5cd-4460-b23b-2c331669811a,Voice Dial,QShortcut,Voice Dial,,Голосовое управление,qt,,,
3280488b-2034-41ed-ab45-8113c2d9249a,Change Title,Command,Change Title,,Изменить заголовок,designer,,,
7d69162a-dec0-4f74-bb21-f8c56e5bdd6e,Launch (0),QShortcut,Launch (0),,Запуск (0),qtbase,,,
abbdc933-b1ee-4de2-895b-8138eff6f566,The class attribute for the class %1 is missing.,QDesignerPluginManager,The class attribute for the class %1 is missing.,,Атрибут класса для класса %1 отсутствует.,designer,,,
5d78f84b-b380-4e7c-b999-2de439fc0a07,Elapsed Time,QWebPage,Elapsed Time,,Время прохождения,qt,,,
f87b47b0-8f94-4411-b486-f9b8c0cfd3da,&Update,QDesignerActions,&Update,,&Обновление,designer,,,
a56c550d-2775-4193-8808-9260a73546b6,Change slot,Command,Change slot,,Изменить слот,designer,,,
d7468e0e-05df-4b77-8113-2ac08d75ecb5,Cannot anchor to an item that isn't a parent or sibling.,QDeclarativeAnchors,Cannot anchor to an item that isn't a parent or sibling.,,"Невозможно закрепить к элементу, который не является родительским или соседним.",qt,,,
500707ff-3591-435c-b0ef-f4e9da50a160,Ogham,QFontDatabase,Ogham,,Огам,qtbase,,,
a1a1a2a6-35ed-411a-b805-3aa58908e3fc,Light,QFontDatabase,Light,,Светлый,qtbase,,,
ded1bffe-c9a6-4bef-8df9-f3964fc5234a,Authentication needed to use %1 on %2.,QCupsPrinterSupport,Authentication needed to use %1 on %2.,,Требуется аутентификация для использования %1 на %2.,qtbase,,,
e22f72c7-5da6-47e6-a6be-068683e0641e,Object Name,ObjectNameDialog,Object Name,,Название объекта,designer,,,
141a036b-5e88-4d59-9920-2214d7f04eff,<B>without</B> the words:,QHelpSearchQueryWidget,<B>without</B> the words:,,<B>без</B> слов:,qt_help,,,
13765e5f-1072-4243-be02-b78385ae1ab4,Process operation timed out,QProcess,Process operation timed out,,Операция обработки завершена с тайм-аутом,qt,,,
05f3a17f-0cf2-49f0-80e1-b4547bcb97e2,Append Separator,qdesigner_internal::ToolBarEventFilter,Append Separator,,Добавить разделитель,designer,,,
051fe72d-75ca-46be-a0e4-d00015a815e3,Additional Fonts,AppFontDialog,Additional Fonts,,Дополнительные шрифты,designer,,,
600d67c4-1173-4f9d-8967-6530cd6c46ba,No OCSP status response found,QSslSocket,No OCSP status response found,,Не найден ответ OCSP статуса,qtbase,,,
1a263669-f6a6-41f4-bf0f-ba1562f7ce4f,"A default namespace declaration must occur before function, variable, and option declarations.",QtXmlPatterns,"A default namespace declaration must occur before function, variable, and option declarations.",,"Объявление дефолтного пространства имен должно предшествовать объявлению функции, переменной и параметра.",qt,,,
dbeec2e9-fd92-4811-8cb3-70338eb2cb61,Folio,QPrintDialog,Folio,,Фолио,qt,,,
08d4c11f-1b3a-43a0-88b8-115169b85fa8,Change signals/slots...,qdesigner_internal::QDesignerTaskMenu,Change signals/slots...,,Изменить сигналы/слоты...,designer,,,
4dd12227-d87b-4e22-8409-76d7f6913603,&Yes,QPlatformTheme,&Yes,,&Да,qtbase,,,
9ff85be1-3c93-4aa7-b734-29d6b0adb0c0,Scroll up,QScrollBar,Scroll up,,Покрутить вверх,qtbase,,,
bda919df-a37c-40d8-88a5-54c26bad91c4,Unknown XSL-T attribute %1.,QtXmlPatterns,Unknown XSL-T attribute %1.,,Неизвестный атрибут XSL-T %1.,qt,,,
e79079a9-3759-4dd2-a24f-492ce3aea52c,&Settings,QDesignerWorkbench,&Settings,,&Настройки,designer,,,
90f48005-b514-454f-94dd-061ee7114ef8,Unknown authentication method,QHttp,Unknown authentication method,,Неизвестный метод аутентификации,qt,,,
33e6e0e7-f2b7-4bc3-961f-27ed47067720,Delete Page,QToolBoxHelper,Delete Page,,Удалить страницу,designer,,,
21c22152-5b3e-4e77-a03f-083a0e7e6501,Expected type name,QDeclarativeParser,Expected type name,,Ожидается имя типа,qt,,,
0c5ecd02-167b-4b16-8ec9-3ba193162c6f,'%1' is not a valid string property specification.,QDesignerPluginManager,'%1' is not a valid string property specification.,,'%1' не является допустимым спецификатором строковой свойства.,designer,,,
cc5fbc4f-2297-4a13-9948-157701b18ae2,Change receiver,Command,Change receiver,,Изменить получателя,designer,,,
a93d5418-07e6-4605-98bb-b6c1bb4e9439,Symlink to Directory,Q3FileDialog,Symlink to Directory,,Ссылка на папку,qt,,,
23aa8e0e-8766-4ac9-96af-a31d10da73a0,"Left to Right, Top to Bottom",QPrintDialog,"Left to Right, Top to Bottom",,"Левый-правый, верхний-нижний",qtbase,,,
051fcd78-f7f9-4e2d-b763-b7f086dc48dc,%1: already exists,QSharedMemory,%1: already exists,,%1: уже существует,qtbase,,,
6301971e-3a47-4e99-beb0-9ef984723611,Choose a topic for <b>%1</b>:,TopicChooser,Choose a topic for <b>%1</b>:,,Выберите тему для <b>%1</b]:,assistant,,,
48cf72c5-ec61-47b6-88fa-059f14b96734,Seek Forward Button,QWebPage,Seek Forward Button,,Кнопка перемотки вперед,qt,,,
9b7d461f-e9fc-41e1-8d28-d9615cb9276e,Cannot open data base file %1.,QHelpGenerator,Cannot open data base file %1.,,Не удалось открыть файл базы данных %1.,qt_help,,,
83b9028a-8f23-4ec5-83bb-2114e6d8afcb,requested value is not available,QRegularExpression,requested value is not available,,запрошенное значение недоступно,qtbase,,,
